player,team,position_raw,position,cap_number,base_salary,signing_bonus,option_bonus,roster_bonus,workout_bonus,guaranteed,apy
Budda Baker,ARI,Unknown,S,19216250.0,14415000.0,3061250.0,0.0,1000000.0,500000.0,7755000.0,0.0
Josh Sweat,ARI,Unknown,EDGE,16385000.0,9780000.0,3700000.0,1805000.0,0.0,100000.0,9780000.0,0.0
Marvin Harrison Jr.,ARI,Unknown,WR,9647657.0,1075000.0,5636771.0,0.0,2935886.0,0.0,4010886.0,0.0
Jeremiyah Love,ARI,Unknown,RB,9640512.0,885000.0,8755512.0,0.0,0.0,0.0,885000.0,0.0
Baron Browning,ARI,Unknown,EDGE,9415000.0,4390000.0,2750000.0,0.0,2000000.0,50000.0,2000000.0,0.0
Jacoby Brissett,ARI,Unknown,QB,9190000.0,4880000.0,1750000.0,0.0,0.0,50000.0,1500000.0,0.0
Paris Johnson Jr.,ARI,Unknown,OT,8925783.0,1145000.0,4350447.0,0.0,3430336.0,0.0,4575336.0,0.0
Trey McBride,ARI,Unknown,TE,8701000.0,3086000.0,3300000.0,1875000.0,0.0,100000.0,3086000.0,0.0
Hjalte Froholdt,ARI,Unknown,C,6958334.0,4770000.0,1333334.0,0.0,500000.0,100000.0,0.0,0.0
Isaac Seumalo,ARI,Unknown,OG,6853333.0,3500000.0,2833333.0,0.0,0.0,100000.0,3500000.0,0.0
Zaven Collins,ARI,Unknown,EDGE,6053217.0,4098217.0,1700000.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew,ARI,Unknown,QB,5690000.0,2890000.0,2250000.0,0.0,0.0,100000.0,2890000.0,0.0
Kyler Murray,ARI,Unknown,QB,5142500.0,22835000.0,2568966.0,7200000.0,17000000.0,1857500.0,36800000.0,0.0
James Conner,ARI,Unknown,RB,4830000.0,2355000.0,2250000.0,0.0,0.0,135000.0,2100000.0,0.0
Kendrick Bourne,ARI,Unknown,WR,4780000.0,2000000.0,2250000.0,0.0,0.0,50000.0,2000000.0,0.0
Mack Wilson,ARI,Unknown,LB,4726668.0,3390000.0,1166668.0,0.0,0.0,50000.0,0.0,0.0
Sean Murphy-Bunting,ARI,Unknown,CB,4490000.0,2390000.0,2000000.0,0.0,0.0,100000.0,1750000.0,0.0
Walter Nolen,ARI,Unknown,IDL,4401716.0,1005000.0,2681373.0,0.0,715343.0,0.0,1720343.0,0.0
Roy Lopez,ARI,Unknown,IDL,4390000.0,2000000.0,2000000.0,0.0,0.0,50000.0,2000000.0,0.0
Tyler Allgeier,ARI,Unknown,RB,4350000.0,1500000.0,2750000.0,0.0,0.0,100000.0,1500000.0,0.0
Michael Wilson,ARI,Unknown,WR,4144811.0,3924000.0,220811.0,0.0,0.0,0.0,0.0,0.0
Garrett Williams,ARI,Unknown,CB,3948533.0,3674000.0,274533.0,0.0,0.0,0.0,0.0,0.0
Darius Robinson,ARI,Unknown,IDL,3782544.0,2055848.0,1726696.0,0.0,0.0,0.0,2055848.0,0.0
Jack Gibbens,ARI,Unknown,LB,3725000.0,2000000.0,1000000.0,0.0,0.0,50000.0,2000000.0,0.0
Dante Stills,ARI,Unknown,IDL,3707333.0,3674000.0,33333.0,0.0,0.0,0.0,0.0,0.0
Elijah Higgins,ARI,Unknown,TE,3674000.0,3674000.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wingard,ARI,Unknown,S,2985000.0,1845000.0,850000.0,0.0,0.0,50000.0,1000000.0,0.0
Elijah Wilkinson,ARI,Unknown,OG,2855000.0,1580000.0,750000.0,0.0,0.0,100000.0,1580000.0,0.0
B.J. Ojulari,ARI,Unknown,EDGE,2735605.0,1922403.0,813202.0,0.0,0.0,0.0,0.0,0.0
Andrew Billings,ARI,Unknown,IDL,2500000.0,1550000.0,350000.0,0.0,0.0,75000.0,350000.0,0.0
Max Melton,ARI,Unknown,CB,2424084.0,1603028.0,821056.0,0.0,0.0,0.0,1603028.0,0.0
Chase Bisontis,ARI,Unknown,OG,2410678.0,885000.0,1525678.0,0.0,0.0,0.0,885000.0,0.0
Devin Duvernay,ARI,Unknown,WR,2350000.0,1215000.0,300000.0,0.0,0.0,80000.0,250000.0,0.0
